wiki_id,wiki_titles,language,logo
Q319761,Aberystwyth University,gb,https://upload.wikimedia.org/wikipedia/en/0/0e/Aberystwyth_University_logo.svg
Q4671528,Academy of Science of South Africa,za,https://upload.wikimedia.org/wikipedia/en/e/e3/Academy_of_Science_of_South_Africa_logo.svg
Q247556,American Chemical Society,us,https://upload.wikimedia.org/wikipedia/en/a/a0/American_Chemical_Society_logo.svg
Q540751,Anglia Ruskin University,gb,https://upload.wikimedia.org/wikipedia/en/4/4e/Anglia_Ruskin_University_logo.svg
Q3547145,Birmingham City University,gb,https://upload.wikimedia.org/wikipedia/en/c/c3/Birmingham_City_University_logo_with_white_tiger.jpg
Q892188,Bond University,au,https://upload.wikimedia.org/wikipedia/en/b/b0/Logotype_of_Bond_University.svg
Q76609344,Boston Library Consortium,us,https://upload.wikimedia.org/wikipedia/en/7/75/Boston_Library_Consortium_logo.png
Q3182943,Bournemouth University,gb,https://upload.wikimedia.org/wikipedia/en/2/20/Bournemouth_University_logo.svg
Q923624,Brock University,fr,https://upload.wikimedia.org/wikipedia/en/7/7f/BrockU_CoA.jpg
Q1026832,California State University Maritime Academy,us,https://upload.wikimedia.org/wikipedia/en/f/fe/CSU_Maritime_Academy_logo.svg
Q1026902,"California State University, Bakersfield",us,https://upload.wikimedia.org/wikipedia/en/a/a5/CSU_Bakersfield_logo.jpg
Q1026944,"California State University, San Bernardino",us,https://upload.wikimedia.org/wikipedia/en/8/85/CoyoteChronicle.png
Q1034468,Cape Peninsula University of Technology,za,https://upload.wikimedia.org/wikipedia/en/b/ba/CPUT_logo.svg
Q5038449,Cardiff Metropolitan University,gb,https://upload.wikimedia.org/wikipedia/en/7/7d/Cardiff_Metropolitan_University_logo.svg
Q5061559,Central Oregon Community College,us,https://upload.wikimedia.org/wikipedia/en/b/b1/Central_Oregon_Community_College_Logo.png
Q124917493,"City St George's, University of London",gb,https://upload.wikimedia.org/wikipedia/en/1/1c/City_St_George%27s%2C_University_of_London_logo.png
Q5127175,Clark College,us,https://upload.wikimedia.org/wikipedia/en/4/4c/Clark_College_logo.svg
Q5147228,Collin College,us,https://upload.wikimedia.org/wikipedia/en/9/95/Collin_College_Logo.png
Q5159003,Concordia University of Edmonton,fr,https://upload.wikimedia.org/wikipedia/en/3/33/Concordia_University_of_Edmonton_Crest.png
Q5176360,Council of Australian University Librarians,au,https://upload.wikimedia.org/wikipedia/en/0/03/Caul-logo-2014.jpg
Q3551402,De Montfort University,gb,https://upload.wikimedia.org/wikipedia/en/1/17/De_Montfort_University_logo.svg
Q5263531,Des Moines University,us,https://upload.wikimedia.org/wikipedia/en/4/4b/Des_Moines_University_logo.png
Q3081395,Francisco José de Caldas District University,co,https://upload.wikimedia.org/wikipedia/en/1/1f/Universidad_Distrital_Logosimbolo.PNG
Q2707341,École nationale supérieure de l'électronique et de ses applications,fr,https://upload.wikimedia.org/wikipedia/en/7/72/Ensea-logo.jpg
Q621043,Emory University,us,https://upload.wikimedia.org/wikipedia/en/8/8f/Emory_U_Logo.svg
