emitter/name;emitter/ror_id;emitter/wikidata_id
"Bibliothek der Hochschule für Musik ""Carl Maria von Weber"" Dresden";01y01jq30;
"Bibliothek der Hochschule für Musik und Theater ""Felix Mendelssohn Bartholdy"" Leipzig";03xgcq477;
"Carl von Ossietzky-Universität Oldenburg; BIS - Bibliotheks- und Informationssystem der Universität";033n9gh91;
"Universitätsbibliothek ""Georgius Agricola"" der TU Bergakademie Freiberg";031vc2293;
Aalborg University (AAU);04m5j1k67;
Aalto University;020hwjq30;
Åbo Akademi University in Turku;029pk6x14;
Åbo Akademi University;029pk6x14;
Academy of Fine Arts Vienna;;Q414219
Aix-Marseille Université;035xkbk20;
Akademie der bildenden Künste Wien - Academy of Fine Arts Vienna;029djt864;
Alpen-Adria Universität Klagenfurt;05q9m0937;
American University;052w4zt36;
Amherst College;028vqfs63;
Anglia Ruskin University;0009t4v78;
Austrian Academy of Sciences;03anc3s24;
Bath Spa University;0038jbq24;
Berlin School of Economics and Law (HWR);03rkmps36;
Berner Fachhochschule;02bnkt322;
Berufsakademie Sachsen – Bibliothek;04d8gk172;
BI Norwegian Business School;03ez40v33;
Bibliothek der Ostfalia Hochschule für angewandte Wissenschaften;01bk10867;
Big Ten Academic Alliance (BTAA);02ntfsb56;
Birmingham City University;00t67pt25;
Blue Ridge Community College;02rw6sa19;
BNUS - Bibliothèque Nationale et Universitaire de Strasbourg;025nwkd90;
Bond University Library;006jxzx88;
Braunschweig University of Fine Arts;03aft2f80;
Brock University;056am2717;
BULAC - Bibliothèque universitaire des langues et civilisations;0323znp25;
Cambridge University;013meh722;
Campus Condorcet;00cd48p72;
Cardiff Metropolitan University;00bqvf857;
Cardiff University;03kk7td41;
Carleton College;03jep7677;
Central Oregon Community College;01by6g473;
Central Washington University;049c8eh51;
CERN;01ggx4157;
Charité - Universitaetsmedizin Berlin, Medizinische Bibliothek CVK;001w7jn25;
Charité – Universitätsmedizin Berlin – Medizinische Bibliothek;001w7jn25;
Charité University of Medicine Berlin;001w7jn25;
Chemeketa Community College;05f37kp03;
Clackamas Community College;02dhttr28;
Clark College;00k71kh37;
Collège de France;04ex24z53;
