intermediary/name;intermediary/wikidata_id;intermediary/ror_id
Amigos;;018gpkq23
ASERL;Q76609335;
Baden-Wurttemburg;Q76612447;
BIBSAM;Q55605397;
BICfB;Q76612327;
BLC;Q76609344;
CAAL-CPBA;Q76612380;
California Digital Library;;03yrm5c26
CAUL;;00aa7w613
Colorado Alliance;Q5148699;
CRKN;;00s5kmw74
Dutch Library Consortium;Q2210863;
Elektron VZW;Q27991319;
FAK;Q76612411;
FinELib;Q76612408;
FLVC;Q117259305;
GWLA;Q16982607;
Heal Link;Q76612426;
Hebis;Q76612424;
IREL;;05c347015
Jisc;;01rv9gx86
Lyrasis;;026tem613
NERL/CRL;;0435xdk58
OCUL;;028215596
OhioLink;;05bqcch62
Orbis Cascade;Q7100024;
PALCI;;02m6s1q30
PASCAL;Q76612516;
Royal Danish Library;;03vvy0v27
SCELC;;04zp06k22
SIKT;;03zee5r16
SLSP;;01jmqcy63
VIVA;;021gxf250
