emitter/name;emitter/wikidata_id;emitter/ror_id
"Austrian Academy of Sciences, c/o President Prof. Anton Zeilinger";;03anc3s24
"CeMM GmbH, Research Center for Molecular Medicine of the Austrian Academy of Sciences";;02z2dfb58
"Georg-August-Universität Göttingen, Niedersachsen-Konsortium, Lower Saxony consortium";;01y9bpm73
"Gruppo Italiano Frattura (IGF) ";Q52637695;
"Gruppo Italiano Frattura (IGF)";Q52637695;
"Zhejiang University Press Co., Ltd.";Q11148583;
Aalborg University Library AAU;Q27991324;
Aalborg University Library;Q27991324;
Aalborg University;;04m5j1k67
Aalto University;;020hwjq30
Aarhus University;;01aj84f44
Aberystwyth University;;015m2p889
Abo Akademi University;;029pk6x14
Academy of Fine Arts Vienna;;029djt864
Academy of Science of South Africa (ASSAf);;02qsf1r97
Adelaide University;;028g18b61
Aix-Marseille Université (AMU);;035xkbk20
Aix-Marseille Université;;035xkbk20
Albert-Ludwigs-Universität Freiburg;;0245cg223
Algoma University;;0131d6623
Alma Mater Studiorum, Università di Bologna, ;;01111rn36
Alma Mater Studiorum, University of Bologna;;01111rn36
American Chemical Society;;059dqb057
American Institute of Physics / AIP Publishing;;02q8vys74
American Psychological Association;;00rt1d436
American University of Beirut;;04pznsd21
American University;;052w4zt36
Amherst College;;028vqfs63
Amigos Library Services;;018gpkq23
Anglia Ruskin University;;0009t4v78
AOSIS;Q52670477;
Arizona State University;;03efmqc40
ASERL;Q76609335;
Aston University;;05j0ve876
Auburn University;;02v80fc35
Auckland University of Technology;;01zvqw119
Audencia;;000axn811
Australian Catholic University;;04cxm4j25
Austrian Academy of Sciences;;03anc3s24
Austrian Science Fund (FWF);;013tf3c58
Austrian Science Fund FWF;;013tf3c58
Avignon Université;;00mfpxb84
Baldwin Wallace University;;001ghdf98
Bath Spa University ;;0038jbq24
Baylor University;;005781934
Bibliothek der Pädagogischen Hochschule Freiburg / Pädagogische Hochschule Schwäbisch Gmünd;Q28733472;
Bibliothek der Pädagogischen Hochschule Freiburg;Q28733472;
Bibliothek der Pädagogischen Hochschule Zürich;Q111747298;
Bibliothek der Universität St. Gallen;Q27488972;
Bibliothéque Cantonal et Univérsitaria de Lausanne;;010dca812
Bibliothèque de l`EPF Lausanne;Q27480131;
Bibliothèque interuniversitaire de la Communauté française de Belgique (BICfB);Q76612327;
Bibliothèque interuniversitaire de la Communauté française de Belgique (BICfB);Q76612327;
Big Ten Academic Alliance;;02ntfsb56
Birkbeck College;;02mb95055
Birmingham City University;;00t67pt25
Blekinge Tekniska Högskola / Blekinge Institute of Technology;;0093a8w51
Blekinge Tekniske Högskola;;0093a8w51
Blue Ridge Community College;;02rw6sa19
BNUS - Bibliothèque nationale et universitaire de Strasbourg;Q630461;
Bond University;;006jxzx88
Boston College;;02n2fzt79
Bournemouth University;;05wwcw481
Bowling Green State University;;00ay7va13
Brandeis University;;05abbep66
Bridgewater College;;016119s16
Brightpoint Community College ;;03ehdx160
Brightpoint Community College;;03ehdx160
British Library;;05dhe8b71
Brock University;;056am2717
Bryn Mawr College;;05sjwtp51
Bucknell University;;00fc1qt65
BULAC;;0323znp25
Cairn University;;01109d775
California Polytechnic State University San Luis Obispo;;001gpfp45
California State Polytechnic University (Pomona);;05by5hm18
California State Polytechnic University Humboldt;Q624560;
California State Unievrsity Northridge;;005f5hv41
California State University Bakersfield;;019ts0j55
California State University Channel Islands;;04v097707
California State University Chico;;027bzz146
California State University Dominguez Hills;;04pyvbw03
California State University East Bay;;04jaeba88
California State University Fresno;;03enmdz06
California State University Fullerton;;02avqqw26
California State University Long Beach;;0080fxk18
California State University Los Angeles;;0294hxs80
California State University Maritime Academy;;051rrf637
California State University Monterey Bay;;00mjdtw98
California State University Northridge;;005f5hv41
California State University Office of the Chancellor;;020qm1538
California State University Sacramento;;03e26wv14
California State University San Bernardino;;02n651896
California State University San Marcos;;01j8e0j24
California State University Stanislaus;;00ejm2g54
California State University, Northridge;;005f5hv41
Cambridge University Press  ;;03jsdjx34
Cambridge University Press;;03jsdjx34
Campus Condorcet;;00cd48p72
Canadian Research Knowledge Network;;00s5kmw74
Cape Breton University;;052y05165
Cape Peninsula University of Technology;;056e9h402
Cappelen Damm Akademisk NOASP;;0515bx276
Cappelen Damm Akademisk;;0515bx276
Cardiff Metropolitan University;;00bqvf857
Cardiff University;;03kk7td41
Carleton University;;02qtvee93
Carnegie Mellon University;;05x2bcf33
Case Western Reserve University;;051fd9666
CAUL, Council of Australian University Librarians ;;00aa7w613
CEA - Commissariat à l'énergie atomique et aux énergie;;00jjx8s55
CEA - Commissariat à l'énergie atomique et aux énergies alternatives;;00jjx8s55
Cedarville University;;01t28d595
CeMM GmbH, Research Center for Molecular Medicine  of the Austrian Academy of Sciences;;02z2dfb58
CeMM GmbH, Research Center for Molecular Medicine of the Austrian Academy of Sciences;;02z2dfb58
Central Oregon Community College;;01by6g473
Central State University;;03xhrps63
Central Washington University;;049c8eh51
Centrale Supélec;Q19203245;
CENTRALNA TEHNIŠKA KNJIŽNICA UNIVERZE V LJUBLJANI;Q107579638;
CERN;;01ggx4157
Charité – Universitätsmedizin Berlin;;001w7jn25
Chemeketa Community College;;05f37kp03
Christopher Newport University;;00m4rwq02
City St George’s, University of London;;047ybhc09
City University London;;04489at23
Claremont Colleges;;03xaz7s88
Clark College;;00k71kh37
Cleveland Clinic;;03xjacd83
Cleveland State University;;002tx1f22
CNRS - Centre national de la recherche scientifique;;02feahw73
Coastal Carolina University;;01621q256
Cogitatio Press;;05prvvz80
College of William and Mary;;03hsf0573
Collin County Community College District;;05t5ek106
Colorado Alliance of Research Libraries;Q5148699;
Colorado College;;03tg3h819
Colorado School of Mines;;04raf6v53
Colorado State University - Fort Collins;;03k1gpj17
Colorado State University - Pueblo;;02gn3zg65
Columbia Gorge Community College;;05sy23e62
Columbia University;;00hj8s172
Columbus State Community College;;02s8rep32
Concordia University of Edmonton;;04013rx15
Connecticut College;;01hpqfm28
Consejo Superior de Investigaciones Científicas;;02gfc7t72
Copenhagen Business School     ;;04sppb023
Copenhagen Business School;;04sppb023
Copenhagen University (Københavns Universitet);;035b05819
COPERNICUS GMBH;;00yafkq43
Cornell University;;05bnh6r87
Couperin;;035c9qf67
Cuouperin - contribution;;035c9qf67
Cuyahoga Community College;;01sgx5h42
CY Cergy Paris Université;;043htjv09
Dalarna Universitet;;000hdh770
Dalarna University;;000hdh770
Dalhousie University;;01e6qks80
Danish Agency for Science and Higher Education;;02sptwz63
Danish Centre for Social Science Research VIVE;;0523ssa79
Danish Institute for International Studies DIIS;;02asy9212
Danmarks Tekniske Universitet, Library;Q21107600;
Danmarks Tekniske Universitet;;04qtj9h94
Dartmouth College Library;Q52633263;
Dartmouth College;;049s0rh22
De Gruyter ;;026xdv168
De Gruyter;;026xdv168
De Montfort University;;0312pnr83
Delft University of Technology;;02e2c7k09
Delta Think Inc;Q115787222;
Denison University;;05pqx1c24
Des Moines University;;058w59113
Dickinson College;;02ydh7m84
Digital Science ;;020h4b682
Digital Science (Figshare, Symplectic);;020h4b682
Digital Science;;020h4b682
Directorate for Higher Education and Skills HK-dir;Q105296275;
Directorate for Higher Education and Skills;Q105296275;
Dresden State and University Library;;03wf51b65
DTU Library;Q21107600;
DTU;;04qtj9h94
Dublin City University;;04a1a1e81
Duke University;;00py81415
Duquesne University;;02336z538
Dutch Library Consortium;Q2210863;
East Carolina University;;01vx35703
Eastern Mennonite University;;059xmmg10
Eastern Oregon University;;01s8xxq04
Eastern Washington University;;002g57a93
EBSCO International Inc. ;;00dsy9f04
EBSCO International Inc.;;00dsy9f04
Edge Hill University;;028ndzd53
EDP Sciences;;00b25kb57
Elektron vzw;Q27991319;
Elektronische Zeitschriftenbibliothek (EZB);Q1327244;
eLife Sciences Publications, Ltd;;04rjz5883
Elsevier B.V.;;02scfj030
Emerald Publishing;;02avhnb77
Emory & Henry College;;018rbev86
Emory University;;03czfpz43
ENC - Ecole nationale des Chartes;;013xvg556
ENS Lyon - Ecole normale supérieure de Lyon;;04zmssz18
ENSEA - École nationale supérieure de l'électronique et de ses applications;;03qeacd72
EPF Lausanne;;02s376052
Erasmus University Rotterdam;;057w15z03
Ersta Sköndal Bräcke högskola;;00ajvsd91
Erudit;;05xay3m79
ETH Zurich;;05a28rw58
European University Institute, the Library;Q111281853;
European University Institute;;0031wrj91
Fachhochschule St. Poelten GmbH;;039a2re55
Fachhochschule Technikum Wien;;04jsx0x49
Fachhochschule Vorarlberg, University of Applied Sciences (FHV);;031wyx077
Fachhochschule Vorarlberg, University of Applied Sciences;;031wyx077
Fachhochschule Wiener Neustadt;;03k7r0z51
Faculdade de Letras da Universidade do Porto;Q10279509;
Faculty of Communication, Universitas Tarumanagara;;04r0rbk24
Federation of Finnish Learned Societies;;02cdzet69
FH St. Pölten;;039a2re55
FH Vorarlberg, University of Applied Sciences;;031wyx077
FinELib, The National Library of Finland;Q76612408;
Flinders University;;01kpzv902
Florida Academic Library Services Cooperation;Q117259305;
Florida State University/FLVC;Q117259305;
Forsvarsakademiet (The Royal Danish Defence College);;00h2bx184
Forsvarshögskolan / Swedish Defence University;;04mj8af82
Forsvarshögskolan;;04mj8af82
Francis Crick Institute;;04tnbqb63
Francis Crick;;04tnbqb63
Franklin and Marshall College;;04fp4ps48
Freie Universitaet Berlin;;046ak2485
French National Fund for Open Science;Q132450832;
French National Open Science Fund;Q132450832;
Frontiers Media SA;Q80796;
Fundação de Apoio à Universidade Federal de São Paulo – FapUNIFESP;;00bkgf580
Fundação de Apoio à Universidade Federal de São Paulo, on behalf of SciELO Program;;00bkgf580
Fundação para a Ciência e a Tecnologia (FCT-FCCN);;00snfqn58
Furman University;;04ytb9n23
GENES-ENSAI - Groupe des Ecoles Nationales d'Economi;;01p6yxw64
GENES-ENSAI - Groupe des Ecoles Nationales d'Economie et Statistique;;01p6yxw64
Georg Thieme Verlag KG;;01zg9j813
Georg-August-Universität Göttingen, Niedersachsen-Konsortium / Geschäftsstelle;Q76612496;
Georg-August-Universität Göttingen, Niedersachsen-Konsortium;Q76612496;
George Mason University;;02jqj7156
George Washington University;;00y4zzh67
Georgetown University;;05vzafd60
Georgia Institute of Technology;;01zkghx44
German National Library of Medicine ZBMed;;0259fwx54
German National Library of Medicine;;0259fwx54
Germanna Community College;;03dgxrg98
Ghent University Library;;00cv9y106
