recipient/name;recipient/ror_id;recipient/wikidata_id;recipient/custom_id
AmeliCA & Redalyc;;;amelica_redalyc
arXiv;00m2zh467
Directory of Open Access Books;;;doab_oapen
Directory of Open Access Journals;05amyt365
DOAB & OAPEN;;;doab_oapen
Episciences;;Q23688650
Erudit;05xay3m79
OAPEN;;;doab_oapen
Open Knowledge Maps;;Q48802126
Open Library of Humanities;;Q17072915
Open Science Framework;;Q18691678
Open Science Framework Preprints coalition;;Q18691678
OpenCitations;00wb4mk85
OpenEdition Journals;;Q16668108
Openjournals.nl;;Q116784455
ORCID;;Q19861084
Peer Community In;0315saa81
PsyArXiv;;Q30640195
Public Knowledge Project;;Q680086
SciPost;05br64h13
Thoth Open Metadata;00dyx6f45
