emitter/name;emitter/ror_id;emitter/wikidata_id
Academy of Fine Arts Vienna;029djt864;
Allegheny College;02jgzjj54;Q4062566
Arkansas State University;006pyvd89;Q500131
Bates College;003yn7c76;Q810771
Bath Spa University;0038jbq24;
Bethel University;05gmsjx02;Q7502148
Bielefeld University Library;00e8qq940;
Birkbeck College;02mb95055;
Birmingham City University;00t67pt25;
Boston College;02n2fzt79;
British Library;05dhe8b71;
Brown University;05gq02987;Q49114
BTAA, 15 universities including Indiana University, Michigan State University, Northwestern University, Ohio State University, Penn State University, Purdue University Libraries, Rutgers University - New Brunswick, The University of Iowa, University of Chicago, University of Illinois, University of Maryland Libraries – College Park, University of Michigan, University of Minnesota, University of Nebraska-Lincoln, University of Wisconsin-Madison;02ntfsb56;Q5153069
California Digital Library;03yrm5c26;Q5020447
California Digital Library, 10 universities including University of California, Berkeley, University of California, Davis, University of California, Irvine, University of California, Los Angeles, University of California, Merced, University of California, Riverside, University of California, San Diego, University of California, San Francisco, University of California, Santa Barbara, University of California, Santa Cruz;03yrm5c26;Q5020447
California State University, East Bay;04jaeba88;Q1026916
Cardiff University;03kk7td41;
Carleton College;03jep7677;
Carnegie Mellon University;05x2bcf33;
Catholic University of Eichstätt-Ingolstadt;00mx91s63;Q315161
Cengage Learning, Inc;04dzb7272;Q2944238
Colby College;00fvyjk73;Q1075116
Columbia University;00hj8s172;
Concordia University (Canada);0420zvk78;Q326342
Concordia University;0420zvk78;Q326342
Cornell University;05bnh6r87;
CSIC;02gfc7t72;Q1024362
Dalhousie University;01e6qks80;
Dartmouth College Libraries;049s0rh22;Q49116
Dartmouth Libraries;049s0rh22;
Davidson College;02f7k4z58;Q2902978
De Montfort University;0312pnr83;
DePauw University;02mks6v46;Q1179599
Dickinson College;02ydh7m84;
Dublin City University Library;04a1a1e81;Q1202897
Dublin City University;04a1a1e81;
Duke University;00py81415;
École normale supérieure ENS-PSL;05a0dhs15;Q83259
Ecole Normale Superieure;05a0dhs15;Q83259
Edge Hill University;028ndzd53;
ELTE Research Centre for Linguistics;005cqsz63;Q7315098
Emory University;03czfpz43;
Erasmus Universiteit Rotterdam;057w15z03;
ETH Zurich;05a28rw58;
ETH Zürich;05a28rw58;
Faculdade de Arquitectura da Universidade do Porto;043pwc612;Q1422903
Finelib Consortium: 4 institutions including Abo Akademi University, University of Eastern Finland incl. Kuopio University Hospital, University of Helsinki incl. Helsinki University Central Hospital and University of Jyväskylä;00fqdfs68;
Florida Southern College;026hjc247;Q5461600
Florida State University Libraries;05g3dte14;Q861548
Franklin & Marshall College;04fp4ps48;Q664881
Freie Universitaet Berlin;046ak2485;
FWF Austrian Science Fund;013tf3c58;Q383273
FWF;013tf3c58;Q383273
Gale’s annual contribution;04dzb7272;Q2944238
Georg-August-Universität Göttingen;01y9bpm73;
George Mason University;02jqj7156;
George Washington University;00y4zzh67;
Gettysburg College;045e26x92;Q1520129
Ghent University;00cv9y106;
Giessen University Library;033eqas34;Q317053
Giessen University Library.;033eqas34;Q317053
Giessen University;033eqas34;Q317053
Goldsmiths College;01khx4a30;
Graduate Institute of International and Development Studies;007ygn379;Q691686
Grinnell College;04tmmky42;Q2982991
Hamilton College;05709zb94;Q3113011
Harvard University;03vek6s52;
HEAL LINK Academic Libraries Consortium (43 institutions), see list here: https://www.openlibhums.org/plugins/supporters/?filter-supporters=greece;01wbw2607;
HEAL LINK Academic Libraries Consortium;01wbw2607;
Hochschule Luzern;04nd0xd48;
Hollins University;05dt3h538;
Humboldt-Universität zu Berlin;01hcx6992;
Hungarian Research Centre for Linguistics;005cqsz63;Q7315098
Imperial College of Science, Technology and Medicine;041kmwe10;
Iowa State University;04rswrd78;
James Madison University;028pmsz77;
Johannes Gutenberg University Mainz;023b0x485;Q161982
Johns Hopkins University;00za53h95;
Katholische Universität Eichstätt-Ingolstadt;00mx91s63;
Kenyon College Library;04ckqgs57;Q1797768
King's College London;0220mzb33;
Konstanz;0546hnb39;Q835440
KU Leuven;05f950310;
Leibniz-Centre General Linguistics (ZAS);03wz9xk91;Q19819891
Leibniz-Zentrum für Literatur- und Kulturforschung;00bpta863;Q191229
Leiden University;027bh9e22;Q156598
Leipzig University;03s7gtk40;Q154804
Linnaeus University;00j9qag85;
London School of Economics & Political Science;0090zs177;
London South Bank University;02vwnat91;
Loughborough University;04vg4w365;
Ludwig-Maximilians-Universität München, University Library;05591te55;Q55044
Ludwig-Maximilians-Universität München;05591te55;Q55044
Macalester College;04fceqm38;
MacEwan University;003s89n44;
Manchester Metropolitan University;02hstj355;
Martin-Luther-University Halle-Wittenberg Universita ̈ts- und Landesbibliothek Sach sen-Anhalt;03c241w53;Q1600777
Martin-Luther-University Halle-Wittenberg, Universitäts- und Landesbibliothek Sachsen-Anhalt Halle;03c241w53;Q1600777
Martin-Luther-University Halle-Wittenberg;05gqaka33;Q32120
Masahiko Takahashi;;
Massachusetts Institute of Technology;042nb2s44;
Max Planck Digital Library;0061msm67;
Max Planck Information and Technology;009r0wm36;
Maynooth University;048nfjm95;
McGill University;01pxwe438;Q201492
Memorial University of Newfoundland;04haebc03;
Miami University;05nbqxr67;
MIT;042nb2s44;
Montana State University Bozeman;02w0trx84;Q1861687
Montana State University;02w0trx84;Q1861687
Mount Royal University;04evsam41;
National Library of Sweden;049bh0z35;
National Library of the Netherlands;02w4jbg70;
National University fo Singapore;01tgyzw49;
National University of Singapore;01tgyzw49;Q738236
New York University;0190ak572;
Norwegian Agency for Shared Services in Education and Research (Sikt);03zee5r16;
Nottingham Trent University;04xyxjd90;Q2002619
NUI Galway;03bea9k73;Q644478
Oberlin College Library;05ac26z88;Q616591
OCUL (15 Canadian institutions) including Brock University, Carleton University, Laurentian University, McMaster University, Nipissing University, Queen's University, Toronto Metropolitan University, Trent University, University of Guelph, University of Ottawa, University of Toronto, University of Waterloo, Western University, Wilfrid Laurier University, York University;028215596;Q30289390
Ohio University Libraries;01jr3y717;Q1075339
Oklahoma State University;01g9vbr38;
Ontario Tech University;016zre027;Q2495899
Oxford;052gg0110;Q34433
paris nanterre;013bkhk48;Q1394262
Portland State University;00yn2fy02;
Princeton University Library;00hx57361;Q21578
Queen Mary University of London;026zzn846;
Queen's University of Belfast;00hswnk62;Q877925
Radboud Universiteit;016xsfp80;
Radboud University Nijmegen;016xsfp80;Q632004
Regensburg University;01eezs655;Q574571
Riksbankens Jubileumsfond;02jkbm893;Q4856185
Roehampton University;043071f54;Q939607
Ruhr-Universitaet Bochum;04tsk2644;Q309948
Saarland University and State Library;01jdpyv68;Q700758
Sächsische Landesbibliothek Staats- und Universitätsbibliothek Dresden;03wf51b65;Q323270
Sheffield Hallam University;019wt1929;
SIKT;03zee5r16;Q107287773
Simon Fraser University;0213rcc28;
Skidmore College;04nzrzs08;Q7535073
Stanford University;00f54p054;Q41506
Statewide California Electronic Library Consortium (SCELC) Statewide California Electronic Library Consortium (SCELC), 13 universities including Baylor University, Claremont Colleges, Concordia University Texas, Digital Theological Library/Claremont School of Theology, Loyola Marymount University, Mount St. Mary's University, Occidental College, Santa Clara University, Texas Christian University, University of San Diego, University of San Francisco, University of the Pacific, Whittier College;04zp06k22;Q30289538
Statewide California Electronic Library Consortium (SCELC), 13 universities including Baylor University, Claremont Colleges, Concordia University Texas, Digital Theological Library/Claremont School of Theology, Loyola Marymount University, Mount St. Mary's University, Occidental College, Santa Clara University, Texas Christian University, University of San Diego, University of San Francisco, University of the Pacific, Whittier College;04zp06k22;Q30289538
Statewide California Electronic Library Consortium (SCELC), For the University of San Diego;03jbbze48;Q262663
Stockholm University Library;05f0yaq80;
Stockholm University;05f0yaq80;
Swarthmore College;012dg8a96;
Syracuse University;025r5qe02;
Technische Informationsbibliothek (TIB);04aj4c181;
Temple University;00kx1jb78;
The Hebrew University of Jerusalem;03qxff017;Q174158
The Netherlands Organisation for Scientific Research (NWO);04jsz6e67;Q129724
The Open University;05mzfcs16;Q2413375
The University of Georgia;00te3t702;Q761534
The University of Manchester;027m9bs27;Q230899
The University of Reading;05v62cm79;Q1432632
The University of Sheffield;05krs5044;
The University of Texas at Austin;00hj54h04;Q49213
The University of the South-Sewanee;05r5k8873;Q7458159
Tilburg University;04b8v1s79;
Trinity University;00t8gz605;
TU Berlin;03v4gjf40;Q51985
TU Braunschweig / Universitätsbibliothek;010nsgg66;Q734324
TU Braunschweig;010nsgg66;
TU Darmstadt;05n911h24;
Tufts University - Tisch Library;05wvpxv85;Q49120
Tufts University;05wvpxv85;
Universidade do Minho;037wpkx04;
Università della Svizzera italiana;03c4atk17;
Universitaets- und Landesbibliothek Duesseldorf;024z2rq82;Q317032
Universitaetsbibliothek Johann Christian Senckenberg;02dcqxm65;Q875587
Universitaetsbibliothek Johann Christian;02dcqxm65;Q875587
UNIVERSITÄT BASEL;02s6k3f65;
Universität des Saarlandes;01jdpyv68;Q700758
Universität Greifswald;00r1edq15;Q165528
Universität Klagenfurt;05q9m0937;
Universität Konstanz;0546hnb39;Q835440
Universität Oldenburg;033n9gh91;
Universität Potsdam;03bnmw459;Q153012
Universität Trier;02778hg05;Q702486
Universität zu Köln;00rcxh774;Q54096
Universitäts- und Landesbibliothek Bonn;;Q2496248
Universitäts- und Landesbibliothek Düsseldorf;024z2rq82;Q317032
Universitätsbibliothek Duisburg-Essen;04mz5ra38;Q696757
Universitätsbibliothek Kassel;04zc7p361;Q833822
Universitätsbibliothek Leipzig;03s7gtk40;
Universitätsbibliothek Tübingen;03a1kwz48;Q153978
Université Bordeaux Montaigne;03pbgwk21;
Université catholique de Louvain;02495e989;
Université de Liège;00afp2z80;
Université de Lille;02kzqn938;
Université de Lorraine;04vfs2w97;
Université de Montréal;0161xgx34;
Universite de Montreal;0161xgx34;Q392189
Université de Neuchâtel;00vasag41;
Université de Strasbourg;00pg6eq24;
Université Paris 8 - Vincennes - Saint-Denis;04wez5e68;Q1194988
Université Paris Nanterre;013bkhk48;
Universiteit Utrecht;04pp8hn57;Q221653
University Arts London;04cnfrn26;Q2065666
University College Cork;03265fv13;
University College Dublin;05m7pjf47;
University College London;02jx3x895;
University de Lorraine;04vfs2w97;
University Library of Muenster University;00pd74e08;Q168426
University of Aberdeen;016476m91;Q270532
University of Alberta;0160cpw27;
University of Amsterdam Library;04dkp9463;Q214341
University of Amsterdam;04dkp9463;
University of Amsterdan;04dkp9463;
University of Antwerp;008x57b05;
University of Arizona Libraries;03m2x1q45;Q503419
University of Arkansas at Fayetteville;05jbt9m15;Q1070333
University of Basel;02s6k3f65;
University of Bath;002h8g185;
University of Bern;02k7v4d05;
University of Birmingham;03angcq70;
University of Bremen;04ers2y35;Q500692
University of Brighton;04kp2b655;Q3056813
University of Bristol;0524sp257;
University of British Columbia;03rmrcq20;
University of Cambridge;013meh722;
University of Cologne;00rcxh774;
University of Delaware;01sbq1a82;
University of Dundee;03h2bxq36;Q1249005
University of Durham;01v29qb04;
University of East Anglia;026k5mg93;
University of Edinburgh;01nrxwf90;
University of Essex;02nkf1q06;Q1075104
University of Exeter;03yghzc09;
University of Florida-Smathers Library;02y3ad647;Q501758
University Of Florida-Smathers Library;02y3ad647;Q501758
University of Geneva;01swzsf04;
University of Georgia;00te3t702;Q761534
University of Ghent;00cv9y106;
University of Glasgow;00vtgdb53;
University of Graz;01faaaf77;
University of Groningen;012p63287;
University of Kansas;001tmjg57;
University of Lancaster;04f2nsd36;
University of Leeds;024mrxd33;
University of Leicester;04h699437;
University of Liege;00afp2z80;Q1334582
University of Limerick;00a0n9e72;
University of Lisbon;01c27hj86;Q1122926
University of Liverpool;04xs57h96;
University of London - School of Advanced Study;04cw6st05;Q170027
University of Massachusetts Amherst;0072zz521;Q15142
University of Melbourne;01ej9dk98;
University of Minho;037wpkx04;
University of Minnesota;017zqws13;
University of Newcastle upon Tyne;01kj2bm70;Q837164
University of North Carolina at Chapel Hill;0130frc33;Q192334
University of North Dakota;04a5szx83;Q968559
University of Northumbria at Newcastle;049e6bc10;Q2503794
University of Oklahoma;02aqsxs83;
University of Oregon;0293rh119;
University of Paris;05f82e368;
University of Pennsylvania;00b30xv10;
University of Pittsburgh;01an3r305;
University of Regensburg;01eezs655;Q574571
University of Rhode Island;013ckk937;
University of Richmond;03y71xh61;
University of Rochester;022kthw22;
University of Salford;01tmqtf75;
University of Salzburg;05gs8cd61;Q27265
University of San Diego;03jbbze48;Q262663
University of Saskatchewan;010x8gc63;
University of South Florida Libraries;032db5x82;Q500606
University of South Florida;032db5x82;
University of Southampton;01ryk1543;
University of St Andrews;02wn5qz54;
University of St. Gallen Library;0561a3s31;Q673354
University of St.Gallen;0561a3s31;Q673354
University of Stirling;045wgfr59;
University of Strathclyde;00n3w3b69;Q1859178
University of Sussex;00ayhx656;
University of Sydney Library;0384j8v12;Q487556
University of Tennessee Knoxville;020f3ap87;Q1150105
University of the Witwatersrand;03rp50x72;Q534643
University of Utah;03r0ha626;Q168515
University of Virginia;0153tk833;
University of Warwick;01a77tt86;
University of Washington;00cvxb145;
University of Winnipeg;02gdzyx04;
University of York;04m01e293;
University of Zurich;02crff812;
University Rostock;03zdwsf69;
University Zurich;02crff812;
Uppsala University Library;048a87296;
Uppsala University;048a87296;
VAC for Glossa;;
Vienna University Library and Archive Services;03prydq77;Q165980
Vienna University;03prydq77;Q165980
Virginia Commonwealth University;02nkdxk79;
Virginia Tech;02smfhw86;
Vrije Universiteit Amsterdam;008xxew50;
Washington and Lee University;05r9xgf14;
Washington University in St. Louis;01yc7t268;
Wayne State University Libraries;01070mq45;Q349055
Wayne State University;01070mq45;
Wesleyan University;05h7xva58;
West Virginia University;011vxgd24;Q115376
Western University;02grkyz14;
Yale University;03v76x132;
Zentral- und Hochschulbibliothek Luzern;00syhrg42;
Zürcher Hochschule der Künste;05r0ap620;
