emitter/name;emitter/ror_id;emitter/wikidata_id;emitter/custom_id;emitter/sub
FNSO project;;Q132450832
CE projects;00k4n6c32
Mellon Foundation;04jsh2530
Croatia: University of Zadar;00t89vb53
Finland: The Federation of Finnish Learned Societies (TSV);02cdzet69
France: CNRS;02feahw73
Greece: National Documentation Centre – EKT;;Q12876738
Italy: University of Turin – UniTo;048tbm396
Netherlands: OAPEN;00mv0bm80
Norway: erih+;;Q22921221
Poland: Institute of Literary Research of the Polish Academy of Sciences – IBL PAN;02q0p6x28
Portugal: University of Coimbra;04z8k9a98
Slovenia: The Research Center of the Slovenian Academy of Sciences and Arts – ZRC SAZU;04zvj8c18
Spain: Spanish Foundation for Science and Technology, F.S.P. (FECYT);034thb936
United Kingdom: Jisc;01rv9gx86
France: DARIAH ERIC;05n09v162
France: Université Paris Nanterre;013bkhk48
Germany: Georg-August-University Göttingen – UGOE;01y9bpm73
Subvention CNRS Action Diamant;02feahw73
Subvention MESR;03sjk9a61
CNR (H2IOSC);04zaypm56;;;H2IOSC
MESR FNSO;;Q132450832
European Commission;00k4n6c32
Germany: MWS;02esxtn62
France Ministère de la Culture-DGLF;017rnyz40
CNR National Contribution Italy;04zaypm56
Subvention CNRS;02feahw73
Subvention ANR;00rbzpz17
Ministère de la Culture DGLF;017rnyz40
France: Université de Lorraine (observer);04vfs2w97
Subvention Gates Foundation;0456r8d26
