emitter/name;emitter/ror_id;emitter/wikidata_id
Åbo Akademi University;029pk6x14;
AgroParisTech;02kbmgc12;
Akademie der bildenden Künste Wien;029djt864;
Amhert College;028vqfs63;
BIS – Bibliotheks- und Informationssystem der Universität Oldenburg;033n9gh91;
Biteca;;
Brock University;056am2717;
Carleton University Library;02qtvee93;
Crossref Statement of Work;02twcfp32;
Dalhousie University;01e6qks80;
Dutch Research Council (NWO);04jsz6e67;
EFP Lausanne;02s376052;
Erasmus Universiteit Rotterdam;057w15z03;
Hochschulbibliothekszentrum des Landes NRW;00n3mcd10;
Hochschule Luzern;04nd0xd48;
Humboldt-Universität zu Berlin – Universitätsbibliothek;01hcx6992;
Indiana University;01kg8sb98;
Karl-Franzens-University Graz;01faaaf77;
King's College London;0220mzb33;
KU Leuven;05f950310;
Kungliga biblioteket (National Library of Sweden);049bh0z35;
Kwantlen Polytechnic University;04raxj885;
Lib4RI;021f7p178;
London School of Economics & Political Science;0090zs177;
London School of Hygiene and Tropical Medicine;00a0jsq62;
MacEwan University;003s89n44;
Max Planck Digital Library;0061msm67;
McMaster University;02fa3aq29;
MIT Libraries;042nb2s44;
MIT;042nb2s44;
Mount Royal Riddell Library & Learning Center;04evsam41;
MTA Könyvtár és Információs Központ / MTA Library and Information Centre;04ws47v52;
Nipissing University;05k14ba46;
Nord University;030mwrt98;
Norwegian University of Science and Technology;05xg72x27;
Ohio State University Libraries;00rs6vg23;
Ontario Tech;016zre027;
Open Journal Theme;;
Oslo Metropolitcan University;04q12yn84;
Pennsylvania State University;04p491231;
Queen’s University;02y72wh86;
Queensland University of Technology;03pnv4752;
Relawan Jurnal Indonesia;;
Royal Danish Library;03vvy0v27;
Sachsenkonsortium;;Q134580046
Sächsische Landesbibliothek — Staats- und Universitätsbibliothek Dresden (SLUB);03wf51b65;
Schweizerischer Nationalfonds;00yjd3n13;
Scientific Electronic Library Online (SciELO);0431zrt90;
SDOC Université Paris-Saclay;03xjwb503;
Simon Fraser University (SFU);0213rcc28;
Sorbonne Université;02en5vm52;
Stavanger University Library;02qte9q33;
Tampere University;033003e23;
Technische Informationsbibliothek (TIB);04aj4c181;
The European Organization for Nuclear Research (CERN);01ggx4157;
TU Delft;02e2c7k09;
UiT The Arctic University of Norway;00wge5k78;
Universitas Muhammadiyah Yogyakarta;03anrkt33;
Universität Basel;02s6k3f65;
Universität Bern;02k7v4d05;
Universität Heidelberg – Universitätsbibliothek;038t36y30;
Universität Konstanz, Kommunikations-, Informations-, Medienzentrum (KIM) IT- und Bibliotheksdienste;0546hnb39;
Universität Luzern;00kgrkn83;
Universität Mannheim Library;031bsb921;
Universität Zürich;02crff812;
Universitäts- und Stadtbibliothek Köln;00rcxh774;
Universitätsbibliothek Braunschweig;010nsgg66;
Universitätsbibliothek Clausthal;04qb8nc58;
Universitätsbibliothek der Technischen Universität Berlin;03v4gjf40;
Universitätsbibliothek Koblenz;0433e6t24;
Universitätsbibliothek Leipzig;03s7gtk40;
Universitätsbibliothek Potsdam;03bnmw459;
Université de Fribourg;022fs9h90;
Université de Lausanne;019whta54;
Université de Lorraine;04vfs2w97;
Université de Montréal;0161xgx34;
Université de Neuchâtel;00vasag41;
Université de Versailles Saint-Quentin-en-Yvelines;03mkjjy25;
Université du Québec à Montréal;002rjbv21;
Université du Québec à Trois-Rivières;02xrw9r68;
Université Jean Moulin - Lyon III;05b5c0584;
Université Laval;04sjchr03;
Université Paris Cité;05f82e368;
Université Paris Nanterre;013bkhk48;
University Groningen;012p63287;
University of Alberta Libraries;0160cpw27;
University of Arizona;03m2x1q45;
University of Bamberg Press;004fa0x02;
University of Bath;002h8g185;
University of Bristol;0524sp257;
University of British Columbia;03rmrcq20;
University of Calgary - Libraries & Cultural Resources;03yjb2x39;
University of Canterbury;03y7q9t39;
University of Eastern Finland;00cyydd11;
University of Exeter;03yghzc09;
University of Florida Libraries;02y3ad647;
University of Guelph;01r7awg59;
University of Helsinki;040af2s02;
University of Illinois at Chicago;02mpq6x41;
University of Illinois at Urbana-Champaign;047426m28;
University of Inland Norway;02dx4dc92;
University of Iowa;036jqmy94;
University of Jyväskylä;05n3dz165;
University of Kansas Libraries;001tmjg57;
University of Manchester;027m9bs27;
University of Manitoba Libraries;02gfys938;
University of Melbourne;01ej9dk98;
University of Miami Libraries;02dgjyy92;
University of New Brunswick Libraries;05nkf0n29;
University of North Texas Libraries;00v97ad02;
University of Nottingham;01ee9ar58;
University of Oslo;01xtthb56;
University of Ottawa;03c4mmv16;
University of Pittsburgh Library System;05gechm64;
University of Queensland;00rqy9422;
University of Saskatchewan;010x8gc63;
University of Sheffield;05krs5044;
University of Stavanger;02qte9q33;Q7100024
University of Sussex;00ayhx656;
University of Sydney;0384j8v12;
University of Tennessee Libraries;020f3ap87;
University of Texas at Austin - University of Texas Libraries (Texas Digital Library);00hj54h04;
University of the Arts London;04cnfrn26;
University of Toronto Libraries;03dbr7087;
University of Victoria Libraries;04s5mat29;
University of Warwick;01a77tt86;
University of Waterloo;01aff2v68;
University of Winnipeg;02gdzyx04;
Utrecht University Library;04pp8hn57;
Western University;02grkyz14;
Wilfrid Laurier University;00fn7gb05;
York University;05fq50484;
Zürcher Hochschule der Angewandten Wissenschaften;05pmsvm27;
Zürcher Hochschule der Künste;05r0ap620;
